"","rules","support","confidence","lift"
"1","{} => {Child.Behaviour.Issues}",0.0506475284651775,0.0506475284651775,1
"2","{} => {Child.Abuse.Neglect}",0.0687261755466432,0.0687261755466432,1
"3","{} => {Parent.with.Drug.Alcohol.Problems}",0.0925661497200045,0.0925661497200045,1
"4","{} => {Parent.with.Physical.Ill.Health}",0.099469808907707,0.099469808907707,1
"5","{} => {Young.Parent}",0.111402212647603,0.111402212647603,1
"6","{} => {Estrangement}",0.163490072885754,0.163490072885754,1
"7","{} => {Homelessness}",0.121323118566622,0.121323118566622,1
"8","{} => {Poor.Living.Conditions.Poverty}",0.144368426934204,0.144368426934204,1
"9","{} => {Child.Health}",0.217341097880477,0.217341097880477,1
"10","{} => {Parent.with.Mental.Health.Issues}",0.203571029464718,0.203571029464718,1
"11","{} => {Domestic.Abuse}",0.236338577299875,0.236338577299875,1
"12","{Child.Psychiatric.Issues} => {Estrangement}",0.0135714019643145,0.421032357473035,2.57527781376212
"13","{Estrangement} => {Child.Psychiatric.Issues}",0.0135714019643145,0.0830105566947672,2.57527781376212
"14","{Non.Coping.Parent} => {Parent.with.Mental.Health.Issues}",0.0123421532960006,0.315555555555556,1.55010050489648
"15","{Parent.with.Mental.Health.Issues} => {Non.Coping.Parent}",0.0123421532960006,0.0606282403171699,1.55010050489648
"16","{Harassment.Assault.Theft} => {Domestic.Abuse}",0.0104424053540609,0.236968160045083,1.00266390173116
"17","{Child.Behaviour.Issues} => {Child.Health}",0.013931484907558,0.275067418484923,1.26560241559188
"18","{Child.Health} => {Child.Behaviour.Issues}",0.013931484907558,0.064099634369287,1.26560241559188
"19","{Child.Behaviour.Issues} => {Parent.with.Mental.Health.Issues}",0.0128760693842582,0.25422897769061,1.2488465493302
"20","{Parent.with.Mental.Health.Issues} => {Child.Behaviour.Issues}",0.0128760693842582,0.0632509911558402,1.2488465493302
"21","{Child.Abuse.Neglect} => {Parent.with.Drug.Alcohol.Problems}",0.0106286551522903,0.154652213188799,1.67072103200352
"22","{Parent.with.Drug.Alcohol.Problems} => {Child.Abuse.Neglect}",0.0106286551522903,0.114822266934943,1.67072103200352
"23","{Child.Abuse.Neglect} => {Poor.Living.Conditions.Poverty}",0.0135838186175298,0.197651309846432,1.36907573244191
"24","{Poor.Living.Conditions.Poverty} => {Child.Abuse.Neglect}",0.0135838186175298,0.0940913391244517,1.36907573244191
"25","{Child.Abuse.Neglect} => {Domestic.Abuse}",0.0120814035784795,0.175790424570912,0.743807577160217
"26","{Domestic.Abuse} => {Child.Abuse.Neglect}",0.0120814035784795,0.0511190501208364,0.743807577160217
"27","{Parent.with.Drug.Alcohol.Problems} => {Poor.Living.Conditions.Poverty}",0.0128139861181817,0.138430583501006,0.958870207570355
"28","{Poor.Living.Conditions.Poverty} => {Parent.with.Drug.Alcohol.Problems}",0.0128139861181817,0.0887589231960093,0.958870207570356
